,Acc_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
27683,2013030000899,2,1,1,2,6,3,0,0,0,0,0,9,1
27684,2013030000899,2,2,2,2,4,3,0,0,2,0,0,9,1
27861,2013030001187,1,1,1,1,11,2,0,0,0,0,0,9,1
27929,2013030001338,1,1,1,2,9,3,0,0,0,0,0,9,1
27938,2013030001353,1,1,1,2,11,2,0,0,0,0,0,9,3
27939,2013030001353,1,3,2,1,11,3,0,0,1,0,0,9,3
27940,2013030001353,2,2,1,1,11,3,0,0,0,0,0,9,3
27972,2013030001414,1,1,2,2,11,3,0,0,1,0,0,9,2
28060,2013030001531,1,1,1,1,7,2,0,0,0,0,0,9,2
28071,2013030001554,1,1,1,1,8,3,0,0,0,0,0,9,1
28124,2013030001630,2,1,1,1,10,3,0,0,0,0,0,9,1
28129,2013030001635,1,1,1,1,7,3,0,0,0,0,0,19,1
28130,2013030001635,1,2,2,1,4,3,0,0,1,0,0,19,3
28131,2013030001635,1,3,2,1,6,3,0,0,1,0,0,19,1
28159,2013030001670,2,1,1,1,9,3,0,0,0,0,0,9,-1
28160,2013030001670,2,2,2,1,9,3,0,0,1,0,0,9,2
28161,2013030001672,1,1,1,1,4,3,0,0,0,0,0,9,3
28172,2013030001686,1,1,1,1,5,3,0,0,0,0,0,9,1
28173,2013030001687,1,1,1,2,8,3,0,0,0,0,0,9,1
28174,2013030001687,1,2,2,1,9,2,0,0,1,0,0,9,1
28175,2013030001687,1,3,2,2,4,2,0,0,2,0,0,9,1
28176,2013030001687,1,4,2,2,3,3,0,0,2,0,0,9,-1
28177,2013030001687,1,5,2,1,1,3,0,0,2,0,0,9,1
28178,2013030001687,1,6,2,2,1,3,0,0,2,0,0,9,1
28182,2013030001690,1,1,2,1,8,3,0,0,1,0,0,9,1
28183,2013030001690,1,2,2,1,4,3,0,0,2,0,0,9,1
28199,2013030001709,1,1,1,1,6,3,0,0,0,0,0,9,1
