,Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
89478,201523M425060,2,1,2,2,71,10,3,0,0,1,0,0,9,1
89479,201523M425060,2,2,2,2,31,6,3,0,0,2,0,0,9,1
89480,201523M425069,1,1,1,2,21,5,3,0,0,0,0,0,9,1
89481,201523M425069,3,2,1,2,32,6,3,0,0,0,0,0,9,1
89482,201523M425156,2,1,1,1,33,6,3,0,0,0,0,0,90,1
89483,201523M425156,2,2,2,1,39,7,3,0,0,1,0,0,90,-1
89484,201523M425161,2,1,1,2,43,7,3,0,0,0,0,0,9,1
89485,201523M425182,1,1,1,2,36,7,3,0,0,0,0,0,9,1
89486,201523M425182,2,2,1,1,41,7,3,0,0,0,0,0,19,1
89487,201523M425209,1,1,1,1,42,7,3,0,0,0,0,0,9,1
89488,201523M425209,4,2,1,2,22,5,3,0,0,0,0,0,9,1
89489,201523M425248,1,1,2,2,13,3,3,0,0,1,0,0,9,3
89490,201523M425280,2,1,2,2,62,9,3,0,0,2,0,0,9,-1
89491,201523M425410,1,1,1,1,28,6,3,0,0,0,0,0,9,1
89492,201523M425465,1,1,1,1,32,6,3,0,0,0,0,0,9,1
89493,201523M425465,1,2,2,1,60,9,3,0,0,1,0,0,9,1
89494,201523M425485,5,1,2,1,43,7,3,0,0,0,0,0,19,1
89495,201523M425783,2,1,1,2,61,9,3,0,0,0,0,0,9,1
89496,201523M425783,2,2,2,1,66,10,3,0,0,1,0,0,9,1
89497,201523M425783,2,3,2,1,8,2,3,0,0,2,0,0,9,1
89498,201523M425783,2,4,2,2,5,1,3,0,0,2,0,0,9,1
89499,201523M426136,2,1,1,1,32,6,3,0,0,0,0,0,9,1
89500,201523M426136,3,2,1,1,23,5,3,0,0,0,0,0,19,1
89501,201523M426136,3,3,2,1,22,5,3,0,0,0,0,0,19,1
89502,201523M426223,1,1,2,1,25,5,3,0,0,0,0,0,19,1
89503,201523M426363,1,1,1,2,39,7,3,0,0,0,0,0,9,1
89504,201523M426371,2,1,1,1,36,7,3,0,0,0,0,0,8,1
89505,201523M426455,2,1,2,2,55,8,3,0,0,1,0,0,9,3
89506,201523M426508,2,1,1,2,29,6,3,0,0,0,0,0,9,1
89507,201523M426508,4,2,1,1,28,6,3,0,0,0,0,0,9,1
89508,201523M426509,2,1,1,2,59,9,3,0,0,0,0,0,9,1
89509,201523M426564,1,1,1,1,39,7,3,0,0,0,0,0,9,1
89510,201523M426564,2,2,1,1,44,7,3,0,0,0,0,0,9,1
89511,201523M426609,2,1,2,2,65,9,3,0,0,1,0,0,9,-1
89512,201523M426609,2,2,2,2,68,10,3,0,0,2,0,0,9,-1
89513,201523M695219,1,1,1,1,55,8,2,0,0,0,0,0,9,1
89514,201523M695219,1,2,2,1,22,5,3,0,0,1,0,0,9,-1
89515,201523M695367,1,1,1,2,21,5,3,0,0,0,0,0,9,1
89516,201523M695367,1,2,2,1,26,6,3,0,0,2,0,0,9,1
